name,brand,price,discount,reviews,rating,actual_rating
Ruhr Gold Gold Beer - 330ml (24 Pcs).,Ruhr Gold,1250.0,0.64,49,4.5,4.44
Kabras Premium White Sugar - 2kg,Kabras,200.0,0.13,1027,4.5,4.5
Lifebuoy Antibacterial Hand Sanitizer - 50ml,Lifebuoy,135.0,0.1,143,4.4,4.38
A General 1x Anti-dust Mouth Face Mask Cycling Surgical Respirator Adult Reusable,A General,230.0,0.47,0,0.0,3.0
Nice & Lovely Hand Sanitizing Gel - 65 Ml,Nice &amp; Lovely,123.0,0.05,39,4.5,4.43
"Jumia Chakula Box (One Click, One Delivery)",Jumia,1499.0,0,8,3.6,3.48
Ajab All-Purpose Fortified Wheat Flour 2Kg,Ajab,113.0,0.05,29,4.8,4.68
Dairy Dairy Top Milk 500ml-A  Pack of 12 Pieces,Dairy,470.0,0.22,188,4.6,4.58
Top Fry Cooking Oil - 3 Litres,Top Fry,480.0,0.05,233,4.6,4.59
Omo Hand Washing Powder Extra Fresh - 3.5kg,Omo,665.0,0.3,64,4.8,4.75
Jogoo Maize Meal  - 2kg,Jogoo,124.0,0,567,4.4,4.4
Exe All-Purpose Fortified Wheat Flour - 2Kg,Exe,119.0,0,299,4.6,4.59
Blue Band Margarine - 1kg,Blue Band,260.0,0.21,311,4.5,4.49
Nutrameal Sugar - 2kg,Nutrameal,200.0,0,167,4.6,4.58
Generic White Washable And Reusable Face Masks With Ear Loops,Generic,80.0,0.2,9,3.3,3.25
A General 1PC Unisex Reusable Dustproof Dust PM2.5 Mask Haze Pollution Respirator Cover,A General,350.0,0.5,0,0.0,3.0
Generic 2pcs Reusable Washable Protective 3-Layer Face Mask,Generic,346.0,0.42,30,3.3,3.28
Aquamist Water - 18.5 Litres - Disposable Bottle,Aquamist,371.0,0.26,372,4.5,4.49
Generic Reusable Washable Protective 3-Layer Face Mask,Generic,399.0,0.43,1,1.0,2.33
"Aura 3M  Mask Particulate Respirator Exhalation 8810SSA  Mask,1 Pc Only",Aura,874.0,0.49,25,3.4,3.37
Indomie Noodles - Chicken Flavour - 20 Pack,Indomie,500.0,0.17,101,4.6,4.57
Exe Chapati Fortified Wheat Flour - 2Kg,Exe,121.0,0,87,4.7,4.66
Pembe Maize Meal Fortified With Vitamins And Minerals - 2Kg,Pembe,120.0,0.03,76,4.7,4.66
Coke Soda Can - 330ml,Coke,53.0,0,16,4.6,4.42
Top Fry Cooking Oil - 5 Litres,Top Fry,750.0,0.06,12,4.9,4.63
Royco Mchuzi Mix Beef Kora 10g - Pack of 12,Royco,106.0,0,2,5.0,4.0
